1934.208	6956
1934.292	7003
1934.375	6889
1934.458	6908
1934.542	6947
1934.625	6969
1934.708	7020
1934.792	6959
1934.875	6996
1934.958	7219
1935.042	6801
1935.125	6945
1935.208	6863
1935.292	6962
1935.375	6905
1935.458	7021
1935.542	6911
1935.625	6958
1935.708	7044
1935.792	7015
1935.875	7141
1935.958	7095
1936.042	7232
1936.125	7199
1936.208	7083
1936.292	7007
1936.375	6958
1936.458	6984
1936.542	7016
1936.625	6899
1936.708	6986
1936.792	6973
1936.875	7002
1936.958	6983
1937.042	7160
1937.125	7097
1937.208	7107
1937.292	7009
1937.375	6966
1937.458	6928
1937.542	6962
1937.625	6952
1937.708	7044
1937.792	7054
1937.875	7149
1937.958	7041
1938.042	6967
1938.125	6858
1938.208	6890
1938.292	6825
1938.375	6946
1938.458	6921
1938.542	6939
1938.625	6959
1938.708	6989
1938.792	7006
1938.875	7125
1938.958	7050
1939.042	7103
1939.125	6949
1939.208	6890
1939.292	6963
1939.375	6914
1939.458	6962
1939.542	7035
1939.625	6969
1939.708	7017
1939.792	7087
1939.875	7075
1939.958	7012
1940.042	7043
1940.125	7083
1940.208	7023
1940.292	6952
1940.375	6974
1940.458	6946
1940.542	6985
1940.625	6909
1940.708	6976
1940.792	7107
1940.875	7102
1940.958	6888
1941.042	7058
1941.125	7077
1941.208	6992
1941.292	6955
1941.375	6945
1941.458	6965
1941.542	6997
1941.625	7011
1941.708	6958
1941.792	6971
1941.875	7105
1941.958	6889
1942.042	6881
1942.125	6861
1942.208	7018
1942.292	6996
1942.375	7016
1942.458	6923
1942.542	6942
1942.625	7000
1942.708	7038
1942.792	7069
1942.875	7078
1942.958	7116
1943.042	7139
1943.125	6841
1943.208	6930
1943.292	6891
1943.375	6915
1943.458	6914
1943.542	6973
1943.625	7017
1943.708	6996
1943.792	7108
1943.875	6981
1943.958	6941
1944.042	6910
1944.125	6863
1944.208	6854
1944.292	6918
1944.375	6875
1944.458	6959
